"Fecha","BTC","ORO","SP500","VIX"
2018-01-03,0.0145050860549691,-0.00264033300921351,0.0063784332439365,9.14999961853027
2018-01-04,0.0258584282480321,0.00511427831026268,0.0040205428553266,9.22000026702881
2018-01-05,0.110944529537294,-0.0010367021379345,0.0070091458885857,9.22000026702881
2018-01-08,-0.138837813400349,-0.00015962553903659,0.0016609637672973,9.52000045776367
2018-01-09,-0.0386199222066566,-0.00463921964304159,0.00130208351729788,10.0799999237061
2018-01-10,0.0255621646355237,0.00240227069240717,-0.00111284581152038,9.81999969482422
2018-01-11,-0.110581167413622,0.0032738773212122,0.00700902576888129,9.88000011444092
2018-01-12,0.041983191837021,0.0120444929421666,0.00672692639909478,10.1599998474121
2018-01-16,-0.196150019384303,0.00165269062716966,-0.00353071326160315,11.6599998474121
2018-01-17,-0.0266252391377613,-0.00813236323735378,0.00937100620650266,11.9099998474121
2018-01-18,0.025266707476316,-0.00222221344858564,-0.00161769749747354,12.2200002670288
2018-01-19,0.0114807840550171,0.00443949961201628,0.00437564798698986,11.2700004577637
2018-01-22,-0.0600034418566224,0.00181770593543007,0.00803436438221361,11.0299997329712
2018-01-23,-0.00577988542365304,0.004961985943158,0.00217200496822212,11.1000003814697
2018-01-24,0.0441860972564356,0.012104345577546,-0.000560132547231973,11.4700002670288
2018-01-25,-0.00884225936755278,-0.00669784902790305,0.000602439398832644,11.5799999237061
2018-01-26,-0.00784639410255572,0.000781175638679521,0.0117716381060839,11.0799999237061
2018-01-29,0.0111271495539658,-0.00563785718347098,-0.00675473628486234,13.8400001525879
2018-01-30,-0.111325153029668,-0.00432812337307542,-0.0109586428053374,14.789999961853
2018-01-31,0.0112952004213174,0.00668108957049096,0.000488865858694787,13.539999961853
2018-02-01,-0.108457996388728,0.00328489098605544,-0.000648298352023069,13.4700002670288
2018-02-02,-0.0377562277501244,-0.0132046867972404,-0.0214366805166994,17.3099994659424
2018-02-05,-0.238740300299105,0.00252864375551898,-0.0418425409383811,37.3199996948242
2018-02-06,0.108709190826632,-0.010551899645681,0.0172905733489372,29.9799995422363
2018-02-07,-0.0172619060539834,-0.00471677208345334,-0.00501413822375252,27.7299995422363
2018-02-08,0.0811541619867011,0.00152141950439511,-0.0382590522458015,33.4599990844727
2018-02-09,0.055463550667886,-0.00168173584274633,0.0148256451995241,29.0599994659424
2018-02-12,0.0214676117179415,0.00479737151778714,0.013818665678186,25.6100006103516
2018-02-13,-0.0374666352201505,0.00564725359678508,0.00260952198027731,24.9699993133545
2018-02-14,0.099160740937517,0.0169088525197649,0.013313439808897,19.2600002288818
2018-02-15,0.0683618402315496,0.00116916076539741,0.0119968617767761,19.1299991607666
2018-02-16,0.00661757363827142,-0.0032769459911659,0.000373399649920891,19.4599990844727
2018-02-20,0.108232104117947,-0.0135328677509383,-0.00585851710683727,20.6000003814697
2018-02-21,-0.0645917022479114,-0.00460496405778521,-0.00551166448331042,20.0200004577637
2018-02-22,-0.0662612109888094,0.00508017740141398,0.000973077485578067,18.7199993133545
2018-02-23,0.0291656796933921,-0.0012676571223933,0.0159012782451207,16.4899997711182
2018-02-26,0.00634811705727856,0.00245455258504546,0.0116884386206273,15.8000001907349
2018-02-27,0.0340346060989738,-0.0104937740547317,-0.0127883114414669,18.5900001525879
2018-02-28,-0.0310294706364651,-0.00103943762483372,-0.0111578060836566,19.8500003814697
2018-03-01,0.0518268760447462,-0.00224250276523108,-0.013413965854876,22.4699993133545
2018-03-02,0.0122883908319693,0.00535764079775092,0.00505878548519867,19.5900001525879
2018-03-05,0.0429815369338407,-0.00167617140037013,0.0109716176105259,18.7299995422363
2018-03-06,-0.0710173788230346,0.0107267206191821,0.00263538293199694,18.3600006103516
2018-03-07,-0.0785471416488406,-0.0064222029145693,-0.000483991825716679,17.7600002288818
2018-03-08,-0.0589575112734924,-0.00238913112357331,0.00445314820888498,16.5400009155273
2018-03-09,-0.00613478803401257,0.000956349666608958,0.0172295467412074,14.6400003433228
2018-03-12,-0.0142840205560315,0,-0.00127479733799785,15.7799997329712
2018-03-13,-0.00111636149752137,0.00190989922819185,-0.00638391041431507,16.3500003814697
2018-03-14,-0.106032020020404,-0.000636248092194869,-0.00574096982518846,17.2299995422363
2018-03-15,0.00374768403922054,-0.00638466196975962,-0.000782236399096803,16.5900001525879
2018-03-16,0.00450614197866628,-0.00240483524120361,0.00170199794723214,15.8000001907349
2018-03-19,0.0344545579511042,0.00216462401545137,-0.0143060405413742,19.0200004577637
2018-03-20,0.0322437188708733,-0.00449479195862157,0.00148070866171945,18.2000007629395
2018-03-21,0.00177221011481521,0.0173057932784735,-0.00184569212562913,17.8600006103516
2018-03-22,-0.0227457297277365,-0.00396102860209435,-0.0254848869728548,23.3400001525879
2018-03-23,0.0171687110599663,0.012855551688487,-0.0211898073117505,24.8700008392334
2018-03-26,-0.0784788897244049,0.0052366227801981,0.0267950407060349,21.0300006866455
2018-03-27,-0.0469291968093657,-0.00617745191505925,-0.0174272856453213,22.5
2018-03-28,0.0153845995453032,-0.0139011360893351,-0.00292091889946278,22.8700008392334
2018-03-29,-0.104429508601003,0.000477079824368509,0.0136757774938436,19.9699993133545
2018-04-02,-0.0114953215901377,0.0116183974619908,-0.0225906823434965,23.6200008392334
2018-04-03,0.0512233528434791,-0.00757220107177758,0.0125359613157414,21.1000003814697
2018-04-04,-0.084224755807055,0.00118689546265216,0.0115001023464467,20.0599994659424
2018-04-05,-0.00620106891030581,-0.00515358045672087,0.00683942140165161,18.9400005340576
2018-04-06,-0.0260504209413384,0.00467899130477623,-0.0221640670570658,21.4899997711182
2018-04-09,0.0200513403840912,0.00339639603559405,0.0033309949675937,21.7700004577637
2018-04-10,0.00941241499855572,0.00236278796915901,0.0165885989963135,20.4699993133545
