"Activo","Beta_normal","p_Beta_normal","Beta_crisis","p_Beta_crisis","Clasificacion"
"Bitcoin",0.9221,"<0.0001",1.0394,"<0.0001","Procíclico"
"Oro",0.0837,"0.0084",0.1119,"0.0127","Procíclico"
