"","BTC_precio","ORO_precio","SP500_precio","EURO_precio","NIKKEI_precio","IRX","VIX"
"2018-01-04",15599.2001953125,125.459999084473,2723.98999023438,3568.8798828125,23506.330078125,1.37000000476837,9.22000026702881
"2018-01-05",17429.5,125.330001831055,2743.14990234375,3607.6298828125,23714.529296875,1.37000000476837,9.22000026702881
"2018-01-08",15170.099609375,125.309997558594,2747.7099609375,3616.44995117188,NA,1.37999999523163,9.52000045776367
"2018-01-09",14595.400390625,124.730003356934,2751.2900390625,3622.8701171875,23849.990234375,1.41499996185303,10.0799999237061
"2018-01-10",14973.2998046875,125.029998779297,2748.22998046875,3609.830078125,23788.19921875,1.39499998092651,9.81999969482422
"2018-01-11",13405.7998046875,125.440002441406,2767.56005859375,3595.23999023438,23710.4296875,1.40299999713898,9.88000011444092
"2018-01-12",13980.599609375,126.959999084473,2786.23999023438,3612.61010742188,23653.8203125,1.4099999666214,10.1599998474121
"2018-01-16",11490.5,127.169998168945,2776.419921875,3622.01000976562,23951.810546875,1.39499998092651,11.6599998474121
"2018-01-17",11188.599609375,126.139999389648,2802.56005859375,3612.78002929688,23868.33984375,1.41499996185303,11.9099998474121
"2018-01-18",11474.900390625,125.860000610352,2798.03002929688,3620.90991210938,23763.369140625,1.40499997138977,12.2200002670288
"2018-01-19",11607.400390625,126.419998168945,2810.30004882812,3649.07006835938,23808.060546875,1.40299999713898,11.2700004577637
"2018-01-22",10931.400390625,126.650001525879,2832.96997070312,3665.28002929688,23816.330078125,1.38999998569489,11.0299997329712
"2018-01-23",10868.400390625,127.279998779297,2839.1298828125,3672.2900390625,24124.150390625,1.41299998760223,11.1000003814697
"2018-01-24",11359.400390625,128.830001831055,2837.5400390625,3643.21997070312,23940.779296875,1.4099999666214,11.4700002670288
"2018-01-25",11259.400390625,127.970001220703,2839.25,3630.14990234375,23669.490234375,1.39300000667572,11.5799999237061
"2018-01-26",11171.400390625,128.070007324219,2872.8701171875,3647.40991210938,23631.880859375,1.38800001144409,11.0799999237061
"2018-01-29",11296.400390625,127.349998474121,2853.53002929688,3643.0400390625,23629.33984375,1.375,13.8400001525879
"2018-01-30",10106.2998046875,126.800003051758,2822.42993164062,3606.75,23291.970703125,1.42499995231628,14.789999961853
"2018-01-31",10221.099609375,127.650001525879,2823.81005859375,3609.2900390625,23098.2890625,1.42999994754791,13.539999961853
"2018-02-01",9170.5400390625,128.070007324219,2821.97998046875,3577.35009765625,23486.109375,1.45299994945526,13.4700002670288
"2018-02-02",8830.75,126.389999389648,2762.1298828125,3523.28002929688,23274.529296875,1.45000004768372,17.3099994659424
"2018-02-05",6955.27001953125,126.709999084473,2648.93994140625,3478.77001953125,22682.080078125,1.45799994468689,37.3199996948242
"2018-02-06",7754,125.379997253418,2695.13989257812,3394.919921875,21610.240234375,1.48800003528595,29.9799995422363
"2018-02-07",7621.2998046875,124.790000915527,2681.65991210938,3454.52001953125,21645.369140625,1.51499998569489,27.7299995422363
"2018-02-08",8265.58984375,124.980003356934,2581,3377.30004882812,21890.859375,1.51499998569489,33.4599990844727
"2018-02-09",8736.98046875,124.769996643066,2619.55004882812,3325.98999023438,21382.619140625,1.52499997615814,29.0599994659424
"2018-02-12",8926.5703125,125.370002746582,2656,3368.25,NA,1.5349999666214,25.6100006103516
"2018-02-13",8598.3095703125,126.080001831055,2662.93994140625,3340.92993164062,21244.6796875,1.57000005245209,24.9699993133545
"2018-02-14",9494.6298828125,128.229995727539,2698.6298828125,3369.830078125,21154.169921875,1.54999995231628,19.2600002288818
"2018-02-15",10166.400390625,128.380004882812,2731.19995117188,3389.6298828125,21464.98046875,1.55999994277954,19.1299991607666
"2018-02-16",10233.900390625,127.959999084473,2732.21997070312,3426.80004882812,21720.25,1.57000005245209,19.4599990844727
"2018-02-20",11403.7001953125,126.23999786377,2716.26000976562,3435.080078125,21925.099609375,1.57299995422363,20.6000003814697
"2018-02-21",10690.400390625,125.660003662109,2701.330078125,3430.15991210938,21970.810546875,1.60800004005432,20.0200004577637
"2018-02-22",10005,126.300003051758,2703.9599609375,3431.98999023438,21736.439453125,1.60500001907349,18.7199993133545
"2018-02-23",10301.099609375,126.139999389648,2747.30004882812,3441.4599609375,21892.779296875,1.60500001907349,16.4899997711182
"2018-02-26",10366.7001953125,126.449996948242,2779.60009765625,3463.17993164062,22153.630859375,1.60800004005432,15.8000001907349
"2018-02-27",10725.599609375,125.129997253418,2744.28002929688,3458.03002929688,22389.859375,1.63499999046326,18.5900001525879
"2018-02-28",10397.900390625,125,2713.830078125,3438.9599609375,22068.240234375,1.61800003051758,19.8500003814697
"2018-03-01",10951,124.720001220703,2677.669921875,3399.15991210938,21724.470703125,1.5900000333786,22.4699993133545
"2018-03-02",11086.400390625,125.389999389648,2691.25,3324.75,21181.640625,1.60500001907349,19.5900001525879
"2018-03-05",11573.2998046875,125.180000305176,2720.93994140625,3355.32006835938,21042.08984375,1.625,18.7299995422363
"2018-03-06",10779.900390625,126.529998779297,2728.1201171875,3357.86010742188,21417.759765625,1.64300000667572,18.3600006103516
"2018-03-07",9965.5703125,125.720001220703,2726.80004882812,3377.36010742188,21252.720703125,1.64999997615814,17.7600002288818
"2018-03-08",9395.009765625,125.419998168945,2738.96997070312,3413.28002929688,21368.0703125,1.63499999046326,16.5400009155273
"2018-03-09",9337.5498046875,125.540000915527,2786.57006835938,3420.5400390625,21469.19921875,1.63499999046326,14.6400003433228
"2018-03-12",9205.1201171875,125.540000915527,2783.02001953125,3429.47998046875,21824.029296875,1.64300000667572,15.7799997329712
"2018-03-13",9194.849609375,125.779998779297,2765.31005859375,3397.35009765625,21968.099609375,1.69000005722046,16.3500003814697
"2018-03-14",8269.8095703125,125.699996948242,2749.47998046875,3390.97998046875,21777.2890625,1.71800005435944,17.2299995422363
"2018-03-15",8300.8603515625,124.900001525879,2747.330078125,3414.1298828125,21803.94921875,1.73300004005432,16.5900001525879
"2018-03-16",8338.349609375,124.599998474121,2752.01000976562,3437.39990234375,21676.509765625,1.73800003528595,15.8000001907349
"2018-03-19",8630.650390625,124.870002746582,2712.919921875,3394.7900390625,21480.900390625,1.72800004482269,19.0200004577637
"2018-03-20",8913.4697265625,124.309997558594,2716.93994140625,3412.080078125,21380.970703125,1.75800001621246,18.2000007629395
"2018-03-21",8929.2802734375,126.480003356934,2711.92993164062,3401.0400390625,NA,1.71000003814697,17.8600006103516
"2018-03-22",8728.4697265625,125.980003356934,2643.68994140625,3348.18994140625,21591.990234375,1.68299996852875,23.3400001525879
"2018-03-23",8879.6201171875,127.610000610352,2588.26000976562,3298.07006835938,20617.859375,1.68799996376038,24.8700008392334
"2018-03-26",8209.400390625,128.279998779297,2658.55004882812,3278.71997070312,20766.099609375,1.70500004291534,21.0300006866455
"2018-03-27",7833.0400390625,127.48999786377,2612.6201171875,3316.94995117188,21317.3203125,1.73300004005432,22.5
"2018-03-28",7954.47998046875,125.730003356934,2605,3331.25,21031.310546875,1.69500005245209,22.8700008392334
"2018-03-29",7165.7001953125,125.790000915527,2640.8701171875,3361.5,21159.080078125,1.66999995708466,19.9699993133545
"2018-04-03",7456.10986328125,126.300003051758,2614.44995117188,3346.92993164062,21292.2890625,1.71300005912781,21.1000003814697
"2018-04-04",6853.83984375,126.449996948242,2644.68994140625,3340.35009765625,21319.55078125,1.66799998283386,20.0599994659424
"2018-04-05",6811.47021484375,125.800003051758,2662.84008789062,3429.94995117188,21645.419921875,1.67499995231628,18.9400005340576
"2018-04-06",6636.31982421875,126.389999389648,2604.46997070312,3408.10009765625,21567.51953125,1.67999994754791,21.4899997711182
"2018-04-09",6770.72998046875,126.819999694824,2613.15991210938,3414.85009765625,21678.259765625,1.67499995231628,21.7700004577637
"2018-04-10",6834.759765625,127.120002746582,2656.8701171875,3438.78002929688,21794.3203125,1.69500005245209,20.4699993133545
"2018-04-11",6968.31982421875,128.110000610352,2642.18994140625,3419.7099609375,21687.099609375,1.692999958992,20.2399997711182
"2018-04-12",7889.25,126.620002746582,2663.98999023438,3443.96997070312,21660.279296875,1.70500004291534,18.4899997711182
"2018-04-13",7895.9599609375,127.449996948242,2656.30004882812,3448,21778.740234375,1.71800005435944,17.4099998474121
"2018-04-16",8058.669921875,127.629997253418,2677.84008789062,3441.0400390625,21835.529296875,1.71300005912781,16.5599994659424
