"Fase","Indice","Beta_normal","p_Beta_normal","Beta_crisis","p_Beta_crisis","Clasificacion"
"1. Pre-COVID","S&P 500",-0.0252,"0.6231",-0.133,"0.0664","Refugio débil"
"1. Pre-COVID","Eurostoxx 50",-0.113,"0.0212",-0.0038,"0.9778","Refugio débil"
"1. Pre-COVID","Nikkei 225",-0.0468,"0.2567",0.0108,"0.9257","Sin evidencia"
"2. Pandemia","S&P 500",0.1234,"0.0453",0.1221,"0.0125","Procíclico"
"2. Pandemia","Eurostoxx 50",0.0336,"0.6159",0.1194,"0.0466","Procíclico"
"2. Pandemia","Nikkei 225",0.0192,"0.6838",0.1372,"0.2006","Sin evidencia"
"3. ETFs","S&P 500",0.1244,"0.1344",0.1359,"0.1858","Sin evidencia"
"3. ETFs","Eurostoxx 50",0.0555,"0.4419",-0.0172,"0.8735","Refugio débil"
"3. ETFs","Nikkei 225",0.0659,"0.2343",0.0539,"0.1842","Sin evidencia"
