"Activo","Media_diaria","Desv_Est","Asimetria","Curtosis","Volat_anual_pct","Sharpe_anual"
"Bitcoin",0.000311,0.03781,-1.1116,14.6833,60.02,0.0876
"Oro",0.000534,0.010267,-0.8653,10.1119,16.3,0.668
"S&P 500",0.000492,0.012384,-0.6722,15.6106,19.66,0.5
