"Activo","N_crisis","Beta1","p_Beta1_bi","Sig_Beta1","Beta2","p_Beta2_bi","Sig_Beta2","Beta_crisis","SE_Beta_crisis","p_Beta_crisis_bi","Sig_Beta_crisis","Clasificacion"
"Bitcoin",94,0.92209233945873,0.0000000000000000310947094682557,"***",0.117321880051047,0.637886387088006,"n.s.",1.03941421950978,0.227797595246306,0.00000537489190465036,"***","Procíclico"
"Oro",94,0.0836767570996036,0.00838012302718106,"***",0.0282373805559003,0.60403748096227,"n.s.",0.111914137655504,0.0448654617930115,0.0127017493801588,"**","Procíclico"
