"","BTC","ORO","SP500","EURO","NIKKEI","IRX","VIX"
"2018-01-05",0.110944529537294,-0.0010367021379345,0.0070091458885857,0.0107992263261227,0.00881816089898457,1.37000000476837,9.22000026702881
"2018-01-10",0.0255621646355237,0.00240227069240717,-0.00111284581152038,-0.00360586028440046,-0.00259418130653799,1.39499998092651,9.81999969482422
"2018-01-11",-0.110581167413622,0.0032738773212122,0.00700902576888129,-0.00404995584903034,-0.00327460402687763,1.40299999713898,9.88000011444092
"2018-01-12",0.041983191837021,0.0120444929421666,0.00672692639909478,0.00481978692073248,-0.00239038523591972,1.4099999666214,10.1599998474121
"2018-01-16",-0.184581725307153,0.00165269062716966,-0.00353071326160315,0.0028200751014964,0.00994118248039655,1.39499998092651,11.6599998474121
"2018-01-17",-0.0266252391377613,-0.00813236323735378,0.00937100620650266,-0.00255155586451572,-0.00349102992009165,1.41499996185303,11.9099998474121
"2018-01-18",0.025266707476316,-0.00222221344858564,-0.00161769749747354,0.00224778399444681,-0.00440760473650137,1.40499997138977,12.2200002670288
"2018-01-19",0.0114807840550171,0.00443949961201628,0.00437564798698986,0.00774700815247442,0.00187891848916699,1.40299999713898,11.2700004577637
"2018-01-22",-0.0593742675387645,0.00181770593543007,0.00803436438221361,0.0044323794347978,0.000347281349938555,1.38999998569489,11.0299997329712
"2018-01-23",-0.00577988542365304,0.004961985943158,0.00217200496822212,0.00191071753537386,0.012841946507109,1.41299998760223,11.1000003814697
"2018-01-24",0.0441860972564356,0.012104345577546,-0.000560132547231973,-0.00794755836156114,-0.00763017795265242,1.4099999666214,11.4700002670288
"2018-01-25",-0.00884225936755278,-0.00669784902790305,0.000602439398832644,-0.00359395511456384,-0.0113963647486859,1.39300000667572,11.5799999237061
"2018-01-26",-0.00784639410255572,0.000781175638679521,0.0117716381060839,0.00474335974348961,-0.00159020265399334,1.38800001144409,11.0799999237061
"2018-01-29",-0.0424536979806067,-0.00563785718347098,-0.00675473628486234,-0.00119879392889999,-0.000107530681164647,1.375,13.8400001525879
"2018-01-30",-0.111325153029668,-0.00432812337307542,-0.0109586428053374,-0.0100114188064744,-0.0143804574339015,1.42499995231628,14.789999961853
"2018-01-31",0.0112952004213174,0.00668108957049096,0.000488865858694787,0.000703998080291868,-0.00835014793936395,1.42999994754791,13.539999961853
"2018-02-01",-0.108457996388728,0.00328489098605544,-0.000648298352023069,-0.00888875777728693,0.0166506077355226,1.45299994945526,13.4700002670288
"2018-02-02",-0.0377562277501244,-0.0132046867972404,-0.0214366805166994,-0.0152299479127542,-0.00904955655308015,1.45000004768372,17.3099994659424
"2018-02-05",-0.173982115331249,0.00252864375551898,-0.0418425409383811,-0.0127135935866267,-0.0257844105515819,1.45799994468689,37.3199996948242
"2018-02-06",0.108709190826632,-0.010551899645681,0.0172905733489372,-0.0243986149914726,-0.0484079015849694,1.48800003528595,29.9799995422363
"2018-02-07",-0.0172619060539834,-0.00471677208345334,-0.00501413822375252,0.0174033504777444,0.00162424779031589,1.51499998569489,27.7299995422363
"2018-02-08",0.0811541619867011,0.00152141950439511,-0.0382590522458015,-0.0226069359729877,0.0112776344956842,1.51499998569489,33.4599990844727
"2018-02-09",0.055463550667886,-0.00168173584274633,0.0148256451995241,-0.0153092169451448,-0.0234907672254927,1.52499997615814,29.0599994659424
"2018-02-14",0.099160740937517,0.0169088525197649,0.013313439808897,0.00861313028856792,-0.00426945089052033,1.54999995231628,19.2600002288818
"2018-02-15",0.0683618402315496,0.00116916076539741,0.0119968617767761,0.0058584151488521,0.0145857462789909,1.55999994277954,19.1299991607666
"2018-02-16",0.00661757363827142,-0.0032769459911659,0.000373399649920891,0.0109061590361197,0.0118222133637804,1.57000005245209,19.4599990844727
"2018-02-20",0.015767739342639,-0.0135328677509383,-0.00585851710683727,0.00797623899871347,-0.0101697908325171,1.57299995422363,20.6000003814697
"2018-02-21",-0.0645917022479114,-0.00460496405778521,-0.00551166448331042,-0.00143335611427986,0.00208269762993396,1.60800004005432,20.0200004577637
"2018-02-22",-0.0662612109888094,0.00508017740141398,0.000973077485578067,0.000533383325759473,-0.0107246893900843,1.60500001907349,18.7199993133545
"2018-02-23",0.0291656796933921,-0.0012676571223933,0.0159012782451207,0.00275552357621045,0.00716678030910955,1.60500001907349,16.4899997711182
"2018-02-26",0.0701155398661992,0.00245455258504546,0.0116884386206273,0.0062914337849822,0.0118445344900895,1.60800004005432,15.8000001907349
"2018-02-27",0.0340346060989738,-0.0104937740547317,-0.0127883114414669,-0.00148815115369239,0.010606745411291,1.63499999046326,18.5900001525879
"2018-02-28",-0.0310294706364651,-0.00103943762483372,-0.0111578060836566,-0.0055299824950783,-0.0144686684379511,1.61800003051758,19.8500003814697
"2018-03-01",0.0518268760447462,-0.00224250276523108,-0.013413965854876,-0.0116407723175538,-0.0157001740851754,1.5900000333786,22.4699993133545
"2018-03-02",0.0122883908319693,0.00535764079775092,0.00505878548519867,-0.0221338331068193,-0.0253045091406729,1.60500001907349,19.5900001525879
"2018-03-05",0.00525865023530692,-0.00167617140037013,0.0109716176105259,0.00915268296735938,-0.00661008811014518,1.625,18.7299995422363
"2018-03-06",-0.0710173788230346,0.0107267206191821,0.00263538293199694,0.00075673201588522,0.0176957633334975,1.64300000667572,18.3600006103516
"2018-03-07",-0.0785471416488406,-0.0064222029145693,-0.000483991825716679,0.00579047272798938,-0.0077355531816945,1.64999997615814,17.7600002288818
"2018-03-08",-0.0589575112734924,-0.00238913112357331,0.00445314820888498,0.0105793433820143,0.0054128460904117,1.63499999046326,16.5400009155273
"2018-03-09",-0.00613478803401257,0.000956349666608958,0.0172295467412074,0.0021247303628904,0.00472154715876449,1.63499999046326,14.6400003433228
"2018-03-12",-0.0397746995350658,0,-0.00127479733799785,0.00261019572395504,0.0163923105633099,1.64300000667572,15.7799997329712
"2018-03-13",-0.00111636149752137,0.00190989922819185,-0.00638391041431507,-0.0094128957882571,0.00657975923392407,1.69000005722046,16.3500003814697
"2018-03-14",-0.106032020020404,-0.000636248092194869,-0.00574096982518846,-0.00187678530183177,-0.00872374267469311,1.71800005435944,17.2299995422363
"2018-03-15",0.00374768403922054,-0.00638466196975962,-0.000782236399096803,0.0068037084221686,0.00122346957667929,1.73300004005432,16.5900001525879
"2018-03-16",0.00450614197866628,-0.00240483524120361,0.00170199794723214,0.00679267542722428,-0.00586193527057688,1.73800003528595,15.8000001907349
"2018-03-19",0.048302106725167,0.00216462401545137,-0.0143060405413742,-0.0124734283165147,-0.0090649885519376,1.72800004482269,19.0200004577637
"2018-03-20",0.0322437188708733,-0.00449479195862157,0.00148070866171945,0.00508018397598775,-0.00466287943151222,1.75800001621246,18.2000007629395
"2018-03-23",0.0171687110599663,0.012855551688487,-0.0211898073117505,-0.0150824141914665,-0.0461647632815421,1.68799996376038,24.8700008392334
"2018-03-26",-0.0342897150422043,0.0052366227801981,0.0267950407060349,-0.00588437623089888,0.00716417046858453,1.70500004291534,21.0300006866455
"2018-03-27",-0.0469291968093657,-0.00617745191505925,-0.0174272856453213,0.0115925778754065,0.0261980718681389,1.73300004005432,22.5
"2018-03-28",0.0153845995453032,-0.0139011360893351,-0.00292091889946278,0.00430193766342768,-0.0135075967496991,1.69500005245209,22.8700008392334
"2018-03-29",-0.104429508601003,0.000477079824368509,0.0136757774938436,0.00903969399493576,0.00605682573498711,1.66999995708466,19.9699993133545
"2018-04-03",0.0512233528434791,-0.00757220107177758,0.0125359613157414,-0.00434381559253971,-0.0045121470547933,1.71300005912781,21.1000003814697
"2018-04-04",-0.084224755807055,0.00118689546265216,0.0115001023464467,-0.00196786618144174,0.00127953745106524,1.66799998283386,20.0599994659424
"2018-04-05",-0.00620106891030581,-0.00515358045672087,0.00683942140165161,0.026470048423338,0.0151693523379652,1.67499995231628,18.9400005340576
"2018-04-06",-0.0260504209413384,0.00467899130477623,-0.0221640670570658,-0.00639068966256495,-0.00360542356048654,1.67999994754791,21.4899997711182
"2018-04-09",-0.0366556127664541,0.00339639603559405,0.0033309949675937,0.00197861687654921,0.00512144668117287,1.67499995231628,21.7700004577637
"2018-04-10",0.00941241499855572,0.00236278796915901,0.0165885989963135,0.00698316904817986,0.00533949548928803,1.69500005245209,20.4699993133545
"2018-04-11",0.01935281561415,0.00775773079794462,-0.00554068577246092,-0.00556102510367751,-0.00493180400466464,1.692999958992,20.2399997711182
"2018-04-12",0.124126935810382,-0.0116987778251056,0.00821689869765674,0.00706912648463742,-0.00123745963881738,1.70500004291534,18.4899997711182
"2018-04-13",0.000850158009713553,0.00653361006986408,-0.00289079982670692,0.0011694855820128,0.00545413927106253,1.71800005435944,17.4099998474121
"2018-04-16",-0.0330081291414395,0.00141132459734283,0.0080763368015635,-0.00202059017396827,0.00260415204490627,1.71300005912781,16.5599994659424
"2018-04-17",-0.0196212591282876,0.000939797609092352,0.0106050716138668,0.0106577507579235,0.000552183425483577,1.75499999523163,15.25
"2018-04-18",0.0325359275749459,0.000782460718466993,0.000831020407552785,0.00372517387289406,0.014116985061575,1.76999998092651,15.6000003814697
"2018-04-19",0.0159064964896274,-0.00195733084988969,-0.00574258179583254,-0.0012296099222997,0.00148730266998065,1.78299999237061,15.960000038147
"2018-04-20",0.0643764846304897,-0.00763093217969502,-0.00857317718835215,0.0021773597481598,-0.00130494817683591,1.76499998569489,16.8799991607666
"2018-04-23",0.0144836977090819,-0.00800792788225202,0.0000562301111841634,0.00538303215181735,-0.00335370725795414,1.78299999237061,16.3400001525879
"2018-04-24",0.0823531991874269,0.00484416746811167,-0.0134708880064753,-0.00062078430893564,0.00856874919308659,1.82299995422363,18.0200004577637
"2018-04-25",-0.0919321066375041,-0.00651726732150237,0.00183537423282409,-0.00716048310071749,-0.00282283728106592,1.81500005722046,17.8400001525879
"2018-04-26",0.0480882101323168,-0.00351468077139128,0.0103801441873763,0.00577814975209279,0.00468348120737616,1.7849999666214,16.2399997711182
"2018-04-27",-0.0322395933068442,0.00423204030617708,0.00111300527136393,0.00362999537185082,0.00662061415772541,1.76999998092651,15.4099998474121
"2018-05-02",0.0127390013769837,-0.000485103166415257,-0.00723195120140208,0.00487145231773845,-0.00156733541784249,1.7849999666214,15.9700002670288
"2018-05-08",-0.0148531014187707,0.000160512469318697,-0.00026567661173349,-0.00177197371004922,0.0018467381511833,1.83500003814697,14.710000038147
"2018-05-09",0.0097370785472517,-0.00208898122526424,0.00963564793486871,0.00332793234744244,-0.00444408534669094,1.84500002861023,13.4200000762939
"2018-05-11",-0.0689361065966985,-0.00143896663214971,0.00170613927096142,-0.00118285001229701,0.0115478896618928,1.86000001430511,12.6499996185303
"2018-05-14",-0.000819964626876057,-0.00408836306846272,0.000883099510126328,0.0000616919598748211,0.00470709734680241,1.85500001907349,12.9300003051758
"2018-05-15",-0.0239644741961946,-0.0162775954763967,-0.00686565504399095,-0.000406716713927224,-0.00209438700840003,1.875,14.6300001144409
"2018-05-16",-0.0167724820478465,-0.00155249806963731,0.0040523398475143,-0.000404072713099168,-0.0044268660915705,1.86500000953674,13.4200000762939
"2018-05-17",-0.0333515397056416,0.000572243583060406,-0.000856238788609964,0.00819842772033397,0.00531829054779642,1.86300003528595,13.4300003051758
"2018-05-18",0.0191681766387202,0.00040857173330533,-0.00263566525455072,-0.00514097594869867,0.00401979085846449,1.85500001907349,13.4200000762939
"2018-05-22",-0.0458394713982138,-0.000571682753271574,-0.00314068859287531,0.00376762668213537,-0.00182884383963433,1.89300000667572,13.2200002670288
"2018-05-23",-0.0620676594447254,0.00106141876459098,0.00324314520689928,-0.0127451536228893,-0.011855522635642,1.87300002574921,12.5799999237061
"2018-05-24",0.00389828269388914,0.00853209120176857,-0.00202526295772287,-0.00567987119889324,-0.0112010331392245,1.86000001430511,12.5299997329712
"2018-05-25",-0.01422952158876,-0.00307939676457814,-0.00236000305418571,-0.00181889864081519,0.000613943996700783,1.85300004482269,13.2200002670288
"2018-05-29",0.046090611580091,-0.000162310413851507,-0.0116315725117921,-0.015772787317557,-0.0054710872683561,1.8400000333786,17.0200004577637
"2018-05-30",-0.00888094235145154,0.00146009355423793,0.0126158753519237,0.00379951606432272,-0.0153195210548098,1.87800002098083,14.9399995803833
"2018-05-31",0.011764678499798,-0.00219097155137238,-0.00690333324343406,-0.0100879497094031,0.00829038545425931,1.87000000476837,15.4300003051758
"2018-06-01",0.00628912261800529,-0.00496764423541141,0.0107907997092394,0.0136704281820403,-0.00137338432066514,1.86800003051758,13.460000038147
"2018-06-04",-0.0270162232389151,-0.000980112117081156,0.00446959489835219,0.0046308834310711,0.0136444821460326,1.86500000953674,12.7399997711182
"2018-06-05",0.0157499611309539,0.00391482210404792,0.000702346269576104,-0.00369026259157934,0.00282567924587518,1.90299999713898,12.3999996185303
"2018-06-06",0.00264528661143615,0.000569635819450021,0.00853090063731177,0.00116515088020641,0.00381671632987235,1.89999997615814,11.6400003433228
"2018-06-07",0.00316461331927798,-0.000488221662327426,-0.000714443621984806,-0.000303456446010486,0.00869240612813371,1.88499999046326,12.1300001144409
"2018-06-08",-0.0069685643656463,0.00122016954336512,0.0031210289077519,-0.00361078840322016,-0.00565757672323564,1.87999999523163,12.1800003051758
"2018-06-11",0.0176591797958725,0.00178688494422641,0.00106813700694008,0.00950417164715489,0.00481506775357943,1.86800003051758,12.3500003814697
"2018-06-12",-0.0481304733993824,-0.00333268877472204,0.00174186727870396,-0.00133410771837816,0.00325335931764847,1.88800001144409,12.3400001525879
"2018-06-13",-0.0359542735067482,0.003008032375587,-0.00403425454141182,0.00114447180788169,0.00384041338212526,1.89499998092651,12.9399995803833
"2018-06-14",0.049982602628063,0.00154110272823083,0.0024685005225038,0.0135730033517092,-0.00996711163638864,1.88300001621246,12.1199998855591
"2018-06-15",-0.0333218740560124,-0.0166725091867415,-0.00101762031549413,-0.00628263702535925,0.00496336764260619,1.88800001144409,11.9799995422363
"2018-06-18",0.0356011914394614,-0.0018972637609842,-0.0021283911808867,-0.0110075505715876,-0.00752966837801949,1.88300001621246,12.3100004196167
"2018-06-19",0.00520115825376521,-0.0025629178089952,-0.00403151795139145,-0.00908440928623655,-0.0178768213117504,1.89800000190735,13.3500003814697
"2018-06-20",0.000975878464416269,-0.00448022738875498,0.00171069022411263,0.00125094162744155,0.0123546101817418,1.88800001144409,12.789999961853
"2018-06-21",-0.00693154931460249,-0.00174773528687044,-0.00636572884322018,-0.0105479590236151,0.00608240689893869,1.88999998569489,14.6400003433228
"2018-06-22",-0.100925134603076,0.00241269127286436,0.00186020325513425,0.0111292529838405,-0.00779519516436622,1.87000000476837,13.7700004577637
"2018-06-25",0.0122280846844678,-0.00374638873221667,-0.0138197229677708,-0.0212582239822385,-0.00796703646966535,1.85300004482269,17.3299999237061
"2018-06-26",-0.0251997686174938,-0.00526864902129276,0.00220215050569639,-0.000145442365891313,0.000172318550895056,1.89300000667572,15.9200000762939
"2018-06-27",0.0103602262003086,-0.00571814788660507,-0.00864158631314105,0.00839808145266474,-0.00314837896460851,1.87999999523163,17.9099998474121
"2018-06-28",-0.0420755189266746,-0.00304054799882092,0.00615968001903155,-0.00934843410340491,-0.0000619146554914352,1.87999999523163,16.8500003814697
"2018-06-29",0.0519613041625018,0.003630690020195,0.00075811588751673,0.00889801573361382,0.00153086813383041,1.87999999523163,16.0900001525879
"2018-07-02",0.0351359760539776,-0.0100801534421109,0.00306326083429376,-0.00691220044445728,-0.0223318361733629,1.89499998092651,15.6000003814697
"2018-07-03",-0.0128717255128681,0.0100801534421109,-0.00495962928053384,0.0100701227039188,-0.00121064956200279,1.93299996852875,16.1399993896484
"2018-07-05",0.00628411922960304,0.0033656028250153,0.00858385674553741,0.00843142411069309,-0.00786102018593304,1.9099999666214,14.9700002670288
