"Fase","Indice","Beta_normal","p_Beta_normal","Beta_crisis","p_Beta_crisis","Clasificacion"
"1. Pre-COVID","S&P 500",0.2288,"0.5090",0.3051,"0.4973","Sin evidencia"
"1. Pre-COVID","Eurostoxx 50",0.4082,"0.1842",-0.2445,"0.5855","Refugio débil"
"1. Pre-COVID","Nikkei 225",-0.3843,"0.0712",-0.2516,"0.3676","Refugio débil"
"2. Pandemia","S&P 500",0.969,"<0.0001",1.3937,"<0.0001","Procíclico"
"2. Pandemia","Eurostoxx 50",0.5894,"<0.0001",1.44,"0.0028","Procíclico"
"2. Pandemia","Nikkei 225",0.0891,"0.4886",0.8844,"0.0351","Procíclico"
"3. ETFs","S&P 500",1.0163,"<0.0001",0.9068,"0.0102","Procíclico"
"3. ETFs","Eurostoxx 50",0.4126,"0.0098",0.0781,"0.8000","Sin evidencia"
"3. ETFs","Nikkei 225",-0.0955,"0.3292",0.1619,"0.4923","Sin evidencia"
